"","Tsize","rep","R2","RMSE","TvsS","BSm","BTm"
"160",25,60,0.296211712943352,23.5219571371115,0.000259185229424019,-47.416223542192,-7.11455392872296
"161",25,61,0.222593568552086,21.1327743919065,5.34306996004365e-05,-40.0033857145924,-2.90745822942464
"162",25,62,0.146352327343334,21.4689886427346,0.23039437673237,-38.0329709337011,-24.4221233108428
"163",25,63,0.228818200837321,18.9921762958565,0.00653810149271008,-38.9284666562278,-12.1469054575278
"164",25,64,0.188041789600471,20.3969902927601,0.0170276131452455,-38.3913200335665,-19.0244310992375
"165",25,65,0.223655419116483,25.022789220932,0.0034420160930834,-47.4446248233891,-10.9622919983002
"166",25,66,0.250105760203947,20.063340198058,0.029212779918044,-34.478446276896,-12.1246717978039
"167",25,67,0.169314044115986,19.826825981167,0.0352589125215292,-33.9610909363715,-16.6713864966761
"168",25,68,0.0973379783476603,26.16767447005,0.169161472638872,-27.1120272737287,-10.3900357046528
"169",25,69,0.228762084186817,19.8094379692952,0.0103030740956997,-38.0747420643484,-10.7498597933802
"170",25,70,0.310610887342649,24.3207063481371,0.00337687059049502,-37.438594226841,1.29661122750653
"171",25,71,0.268542385942295,21.5694621401154,0.00233323830770741,-32.807776742417,-2.11594853339023
"172",25,72,0.225921866171227,18.848289270207,0.00480797747119371,-38.3635161254032,-12.2822821613619
"173",25,73,0.129034032509429,20.4209727204636,0.0137015782233857,-37.1895247773765,-13.1895900687141
"174",25,74,0.233694240104561,19.4016452722956,0.0324929875485202,-39.1165088230716,-15.9146454027151
"175",25,75,0.0608187860361676,27.5840049241291,0.18568755108887,-27.4671866235744,-9.08622805111864
"176",25,76,0.262073684748443,22.3596775622349,0.0181920944145677,-37.9067809517707,-5.07167773980891
"177",25,77,0.276737252842942,21.3213971646141,0.0124813486798744,-36.6632972534371,-4.75764935881577
"178",25,78,0.102510939054339,19.9704166509458,0.612628530832073,-16.2035063884305,-10.5666771697073
"179",25,79,0.338731632865791,19.1902838338648,0.020724145107549,-42.9228178984279,-16.3425370848864
"180",25,80,0.328086792853523,23.0172748421808,0.00862939433400302,-42.3675596593932,-16.2137641476846
"181",25,81,0.16396914053612,28.39998723249,0.0485618759280743,-39.0811195217461,-10.6069013195225
"182",25,82,0.219978793975615,19.5555048838604,0.0158744490663954,-37.2695753935479,-12.7849338764987
"183",25,83,0.187923585240267,22.4455298604073,0.026804554109216,-38.600267069437,-13.8554034174663
"184",25,84,0.237235325434982,22.619010423809,0.00376635858329683,-35.2421176136633,0.35982268944119
"185",25,85,0.211640861512686,20.3410128760614,0.0023050392701624,-32.6749123956604,-4.54879443634639
"186",25,86,0.265529845855389,17.311820593836,0.00576236281700607,-30.5697523996418,-6.61559302608646
"187",25,87,0.326092372748923,25.0875580337033,0.0281042013541856,-38.1032606032007,-4.79074472484123
"188",25,88,0.195517332362901,23.2906795988076,0.0579777077536633,-29.407350588417,-4.27117753590244
"189",25,89,0.133741427060319,24.7416986167263,0.0234384261422649,-29.9491790864181,-4.37505114558196
"190",25,90,0.242908926770495,20.8336998338999,0.0017042830357681,-37.0728595780872,-5.80156805761263
"191",25,91,0.228773588263312,23.7899054972783,0.0327883132179104,-34.1159804786148,-5.53533630003171
"192",25,92,0.281952796733531,19.9888277404035,0.000728003158516732,-37.4570546657307,-5.35379684978886
"193",25,93,0.337038119917451,20.8495191315941,4.87167642261307e-05,-34.7895512301506,8.99090489304449
